City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,sao luis,-2.5297,-44.3028,32.11,51,20,5.66,BR,1689102922
356,jiaonan,35.8786,119.9753,25.04,91,19,1.18,CN,1689102987
357,abha,18.2164,42.5053,22.9,64,0,1.54,SA,1689102987
358,maumere,-8.6199,122.2111,24.88,85,94,3.47,ID,1689102988
359,monroe,43.1501,-77.6831,31.38,51,40,6.17,US,1689102988
360,muravlenko,63.7898,74.523,13.6,64,100,4.87,RU,1689102989
361,alyangula,-13.8483,136.4192,21.81,88,9,4.96,AU,1689102989
362,gap,44.6667,6.0,17.91,71,0,2.45,FR,1689102990
363,taoudenni,22.6783,-3.9836,42.36,8,5,3.82,ML,1689102990
364,green river,41.5286,-109.4662,31.22,15,0,3.13,US,1689102991
365,karratha,-20.7377,116.8463,18.98,28,0,4.63,AU,1689102991
366,san cristobal,7.7669,-72.225,28.1,81,100,1.86,VE,1689102992
367,bambous virieux,-20.3428,57.7575,21.79,78,40,1.54,MU,1689102993
